1,NCJ,NAGERCOIL  JN.,A,14:45,1
2,TVC,TRIVANDRUM CENTRAL,16:05,16:10,1
3,QLN,QULION JN.,17:10,17:15,1
4,KYJ,KAYANKULAM JN.,17:50,17:52,1
5,CNGR,CHENGANNUR,18:11,18:12,1
6,TRVL,TIRUVALLA,18:22,18:23,1
7,KTYM,KOTTYAM,19:10,19:13,1
8,ERN,ERNAKULAM TOWN,20:30,20:35,1
9,AWY,ALUVA,20:55,20:57,1
10,TCR,THRISUR,21:55,21:58,1
11,SRR,SHORANUR JN.,22:40,22:50,1
12,PTB,PATTAMBI,23:04,23:05,1
13,KTU,KUTTIPURAM,23:23,23:25,1
14,TIR,TIRUR,23:43,23:45,1
15,PGI,PARAPANANGADI,00:03,00:05,2
16,FK,FEROK,00:18,00:20,2
17,CLT,KOZHIKKODE,00:35,00:40,2
18,QLD,QUILANDI,00:59,01:00,2
19,BDJ,BADAGARA,01:24,01:25,2
20,TLY,TELLICHERRY,01:49,01:50,2
21,CAN,KANNUR,02:15,02:20,2
22,KPQ,KANNAPURAM,02:34,02:35,2
23,PAY,PAYYANUR,02:54,02:55,2
24,KGQ,KASARGOD,03:43,03:45,2
25,MAJN,MANGALORE JN.,04:25,04:35,2
26,SL,SURATKAL,05:35,05:37,2
27,UD,UDUPI,06:20,06:22,2
28,KUDA,KUNDAPURA,06:48,06:50,2
29,BYNR,MOOKAMBIKA BYNDOOR,07:16,07:18,2
30,MRDW,MURDESHWAR,07:48,07:50,2
31,KT,KUMTA,08:30,08:32,2
32,KAWR,KARWAR,09:28,09:30,2
33,CNO,CANCONA,09:58,10:00,2
34,MAO,MADGAON,11:20,11:30,2
35,SWV,SAWANTWADI ROAD,12:50,12:52,2
36,RN,RATNAGIRI,16:10,16:15,2
37,CHI,CHIPLUN,17:20,17:22,2
38,PNVL,PANVEL,21:20,21:25,2
39,BIRD,BHIVANDI ROAD,22:24,22:25,2
40,BSR,VASAI ROAD,23:10,23:20,2
41,BOR,BOISAR,00:07,00:08,3
42,VAPI,VAPI,01:00,01:02,3
43,BL,VALSAD,01:29,01:30,3
44,ST,SURAT,03:10,03:22,3
45,AKV,ANKLESHWAR JN.,03:57,03:58,3
46,BRC,VADODARA JN.,05:04,05:14,3
47,ANND,ANAND JN.,05:46,05:47,3
48,ND,NADIAD JN. (B.G.),06:07,06:08,3
49,MAN,MANINAGAR,06:49,06:50,3
50,ADI,AHMADABAD JN.,07:15,07:25,3
51,VG,VIRAMGAM JN.,08:32,08:33,3
52,DHG,DHRANGNADHRA (B.G.),09:38,09:40,3
53,MALB,MALIYA MIYANA JN. (,10:39,10:41,3
54,SIOB,SAMAKHILI ( B.G . ),11:50,11:52,3
55,BCOB,BHACHAU (B.G. ),12:06,12:07,3
56,GIMB,GANDHIDHAM JN.,13:00,D,3
