1,TVC,TRIVANDRUM CENTRAL,A,00:30,1
2,QLN,QULION JN.,01:25,01:30,1
3,KYJ,KAYANKULAM JN.,02:08,02:10,1
4,KTYM,KOTTYAM,03:25,03:28,1
5,ERN,ERNAKULAM TOWN,05:10,05:15,1
6,TCR,THRISUR,06:20,06:23,1
7,SRR,SHORANUR JN.,07:10,07:20,1
8,CLT,KOZHIKKODE,08:45,08:50,1
9,CAN,KANNUR,10:10,10:15,1
10,MAJN,MANGALORE JN.,12:05,12:15,1
11,UD,UDUPI,13:48,13:50,1
12,KAWR,KARWAR,16:10,16:12,1
13,MAO,MADGAON,17:10,17:20,1
14,KRMI,KARMALI,17:52,17:54,1
15,RN,RATNAGIRI,20:55,21:00,1
16,PNVL,PANVEL,02:30,02:35,2
17,BSR,VASAI ROAD,04:30,04:40,2
18,DRD,DAHANU ROAD,05:45,05:47,2
19,VAPI,VAPI,06:18,06:20,2
20,ST,SURAT,08:10,08:15,2
21,BH,BHARUCH JN.,09:00,09:01,2
22,BRC,VADODARA JN.,10:06,10:16,2
23,RTM,RATLAM JN. (B.G.),14:20,14:30,2
24,KOTA,KOTA JN.,18:15,18:20,2
25,SWM,SAWAI MADHOPUR JN.,19:48,19:50,2
26,BTE,BHARATPUR JN.,22:34,22:35,2
27,MTJ,MATHURA JN.,23:33,23:35,2
28,NZM,HAZRAT NIZAMUDDIN J,01:45,D,3
