1,MAO,MADGAON,A,10:40,1
2,THVM,THIVIM,11:30,11:32,1
3,KUDL,KUDAL,12:56,12:58,1
4,RN,RATNAGIRI,15:00,15:05,1
5,KHED,KHED,16:40,16:42,1
6,PNVL,PANVEL,19:50,19:55,1
7,BSR,VASAI ROAD,21:15,21:20,1
8,VAPI,VAPI,22:54,22:56,1
9,ST,SURAT,00:15,00:20,2
10,BH,BHARUCH JN.,01:04,01:05,2
11,BRC,VADODARA JN.,02:03,02:13,2
12,ANND,ANAND JN.,02:44,02:46,2
13,ND,NADIAD JN. (B.G.),03:01,03:03,2
14,ADI,AHMADABAD JN.,04:10,04:20,2
15,VG,VIRAMGAM JN.,05:24,05:26,2
16,SUNR,SURENDRANAGAR JN.,06:33,06:35,2
17,RJT,RAJKOT JN.,08:33,08:43,2
18,HAPA,HAPA,10:20,D,2
