1,DIVA,DIVA JN.,A,06:25,1
2,TPND,TALOJE PANCHNAND,06:46,06:47,1
3,NVRD,NAVDE ROAD,06:51,06:52,1
4,KLMG,KALAMBOLI,06:55,06:56,1
5,PNVL,PANVEL,07:05,07:10,1
6,SMNE,SOMATANE,07:19,07:20,1
7,RSYI,RASAYANI,07:24,07:25,1
8,APTA,APTA,07:29,07:30,1
9,JITE,JITE,07:41,07:42,1
10,HMRR,HAMARAPUR,07:48,07:49,1
11,PEN,PEN,07:59,08:00,1
12,KASU,KASU,08:14,08:15,1
13,NGTN,NAGOTHANE,08:30,08:31,1
14,ROH,ROHA,08:58,09:00,1
15,KOL,KOLAD,09:17,09:18,1
16,INP,INDAPUR(H),09:28,09:29,1
17,MNI,MANGAON,09:39,09:40,1
18,GNO,GOREGAON ROAD(H),09:49,09:50,1
19,VEER,VEER,09:59,10:00,1
20,SAPE,SAPE-WAMANE,10:09,10:10,1
21,KFD,KARANJADI,10:19,10:20,1
22,VINH,VINHERE,10:31,10:32,1
23,DWV,DIWAN KHAVATI,10:39,10:40,1
24,KHED,KHED,10:59,11:00,1
25,ANO,ANJANI,11:14,11:15,1
26,CHI,CHIPLUN,11:35,11:40,1
27,KMAH,KAMATHE,11:51,11:52,1
28,SVX,SAVARDA,12:04,12:05,1
29,AVRD,ARAVALI ROAD,12:21,12:22,1
30,SGR,SANGMESHWAR,12:42,12:43,1
31,UKC,UKSHI,12:57,12:58,1
32,BOKE,BHOKE,13:17,13:18,1
33,RN,RATNAGIRI,14:30,14:35,1
34,NIV,NIVSAR,14:50,14:51,1
35,ADVI,ADAVALI,15:04,15:05,1
36,VRLI,VERAVALI,15:14,15:15,1
37,VID,VILAVADE,15:31,15:32,1
38,SUAL,SAUNDAL,15:42,15:43,1
39,RAJP,RAJAPUR ROAD,15:51,15:52,1
40,VBW,VAIBHAVWADI ROAD,16:06,16:07,1
41,NAN,NANDGAON ROAD,16:25,16:26,1
42,KKW,KANKAVLI,16:44,16:45,1
43,SNDD,SINDUDURG,17:01,17:02,1
44,KUDL,KUDAL,17:14,17:15,1
45,ZARP,ZARAP,17:31,17:32,1
46,SWV,SAWANTWADI ROAD,17:50,D,1
